     #Energy           s           p           d       tot  
    -1.53604    -0.01812    -0.07075     0.00000    -0.08887
    -1.40204    -0.02639    -0.06910     0.00000    -0.09549
    -1.26904    -0.03143    -0.05909     0.00000    -0.09052
    -1.13604    -0.04417    -0.05281     0.00000    -0.09698
    -1.00204    -0.14768    -0.06163     0.00000    -0.20931
    -0.86904    -0.29464    -0.06548     0.00000    -0.36012
    -0.73604    -0.25808    -0.05744     0.00000    -0.31552
    -0.60204    -0.17112    -0.05570     0.00000    -0.22682
    -0.46904    -0.16560    -0.05739     0.00000    -0.22299
    -0.33604    -0.17376    -0.06105     0.00000    -0.23481
    -0.20204    -0.17656    -0.06866     0.00000    -0.24522
    -0.06904    -0.17112    -0.08168     0.00000    -0.25280
     0.06396    -0.15112    -0.09472     0.00000    -0.24584
     0.19796    -0.10144    -0.07470     0.00000    -0.17614
     0.33096    -0.03005    -0.02574     0.00000    -0.05578
     0.46396     0.00270    -0.01109     0.00000    -0.00838
     0.59796     0.00101    -0.02294     0.00000    -0.02193
     0.73096    -0.00043    -0.03416     0.00000    -0.03459
     0.86396    -0.00020    -0.04658     0.00000    -0.04678
     0.99796    -0.00028    -0.06346     0.00000    -0.06374
     1.13096    -0.00056    -0.08480     0.00000    -0.08536
     1.26396    -0.00113    -0.11200     0.00000    -0.11313
     1.39796    -0.00226    -0.14736     0.00000    -0.14962
     1.53096    -0.00403    -0.18864     0.00000    -0.19267
     1.66396    -0.00849    -0.28720     0.00000    -0.29569
     1.79796    -0.02518    -0.48768     0.00000    -0.51286
     1.93096    -0.05782    -0.56232     0.00000    -0.62014
     2.06396    -0.08680    -0.46672     0.00000    -0.55352
     2.19796    -0.10160    -0.38440     0.00000    -0.48600
     2.33096    -0.10984    -0.36184     0.00000    -0.47168
     2.46396    -0.11656    -0.34584     0.00000    -0.46240
     2.59796    -0.12256    -0.33400     0.00000    -0.45656
     2.73096    -0.12808    -0.32840     0.00000    -0.45648
     2.86396    -0.13456    -0.31096     0.00000    -0.44552
     2.99796    -0.13888    -0.30312     0.00000    -0.44200
     3.13096    -0.14776    -0.29208     0.00000    -0.43984
     3.26396    -0.15440    -0.27512     0.00000    -0.42952
     3.39796    -0.16728    -0.26480     0.00000    -0.43208
     3.53096    -0.18040    -0.24536     0.00000    -0.42576
     3.66396    -0.21168    -0.23400     0.00000    -0.44568
     3.79796    -0.29232    -0.21296     0.00000    -0.50528
     3.93096    -0.57216    -0.22168     0.00000    -0.79384
     4.06396    -0.97760    -0.25624     0.00000    -1.23384
     4.19796    -0.90800    -0.26400     0.00000    -1.17200
     4.33096    -0.54560    -0.24648     0.00000    -0.79208
     4.46396    -0.40168    -0.23624     0.00000    -0.63792
     4.59796    -0.37888    -0.24088     0.00000    -0.61976
     4.73096    -0.40688    -0.27512     0.00000    -0.68200
     4.86396    -0.42800    -0.29160     0.00000    -0.71960
     4.99796    -0.41512    -0.28416     0.00000    -0.69928
     5.13096    -0.38176    -0.27824     0.00000    -0.66000
     5.26396    -0.35248    -0.25320     0.00000    -0.60568
     5.39796    -0.34080    -0.24888     0.00000    -0.58968
     5.53096    -0.33400    -0.24528     0.00000    -0.57928
     5.66396    -0.31904    -0.21928     0.00000    -0.53832
     5.79796    -0.32904    -0.23928     0.00000    -0.56832
     5.93096    -0.32872    -0.26056     0.00000    -0.58928
     6.06396    -0.33520    -0.26464     0.00000    -0.59984
     6.19796    -0.34952    -0.27016     0.00000    -0.61968
